id,priority,area,function,action,test_data,source_row
140,High,Orders,Registered Users,"Check to ensure that a Registered User can place an Order containing a CUG Discount:

Steps for ""Check to ensure that a Registered User can place an Order containing a CUG Discount"":
1. Go to BO
2. Open the ""Promotion Rules"" page
3. Add new ""Promotion Rule""
4. Add ""promogroup-epson-gb"" in ""Website"" field
5. Change ""Priority"" to 1 and save it
6. Open ‘CONDITIONS & ACTIONS’ tab
7. Drag the ""Target customers"" field from ""Available Conditions"" to ""Conditions"" column
8. Select the group that includes the customer in the ""Customer group"" field
9. Select the your own customer in the ""Customers"" field
10. Add some action (e.g. Percentage discount value = 50%)
11. Save and Publish (need to use another account)

NOTE: This test case can be applied to the specific users &/or groups",,145
141,High,Orders,Registered Users,Check to ensure that a Registered User can place an Order containing a Amount based Voucher,,146
142,High,Orders,Registered Users,Check to ensure that a Registered User can place an Order containing a Percentage based Voucher,,147
143,High,Orders,Registered Users,Check to ensure that a Registered User can place an Order containing a Promotion and a Voucher (any),,148
144,High,Orders,Guest Users,Check to ensure that a Guest User place a Normal Order,,149
145,High,Orders,Guest Users,Check to ensure that a Guest User can place an Order containing a Promotion,,150
146,High,Orders,Guest Users,Check to ensure that a Guest User can place an Order containing a Amount based Voucher,,151
147,High,Orders,Guest Users,Check to ensure that a Guest User can place an Order containing a Percentage based Voucher,,152
148,High,Orders,Guest Users,Check to ensure that a Guest User can place an Order containing a Promotion and a Voucher (any),,153
149,High,Ink Page,Buy Accessories for My Products,Click on the Ink link within the Menu to be taken to the Ink finder page,,154
150,High,Ink Page,Buy Accessories for My Products,"Enter text of ""XP-"" and click on the Search button. The results page should be shown for all matches where Product Name starts with ""XP-""",,155
151,High,Ink Page,Buy Accessories for My Products,"Enter text of ""XP-9"" and select the XP-960 match from the suggestive products. The PDP page for XP-960 is shown with the page anchoring at the 'Accessories' section",,156
152,High,Email,Registration,Check to ensure the Registered Confirmation email can be triggered upon a successful registration,,157
153,High,Email,Forgot Password,Check to ensure the Forgot Password Confirmation email can be triggered using the reset link,,158
154,High,Email,Order Confirmation,Check to ensure the Order Confirmation email can be triggered upon a successful Order for Registered users,,159
155,High,Email,Order Confirmation,Check to ensure the Order Confirmation email can be triggered upon a successful Order for Guest users,,160
156,High,Email,Pay By Link,Check to ensure the Pay By Link email can be triggered by an ASM Agent after placing a successful Order for Registered users,,161
157,High,Email,Pay By Link,Check to ensure the Pay By Link email can be triggered by an ASM Agent after placing a successful Order for Guest users,,162
158,High,Email,Return 1,Check to ensure the Return Opt. 1 (With Label) email can be triggered,,163
159,High,Email,Return 2,Check to ensure the Return Opt. 2 (Digital/QR Code) email can be triggered and it contains the Digital Label,,164
160,High,Email,Back in Stock,Check to ensure the Back in Stock Notification email can be triggered for a product which is Out of Stock,,165
161,Medium,Cover+,Cover+ Registration,Check to ensure Cover+ registration can be completed and a Successful CoverPlus Registration email is sent,,166
162,High,Case Management,Payment,"Ensure an Order which is stuck in Adyen under Case Management rule, can be released and sent to SAP ECC",,167
163,High,My Account,Order History,"Within the My Account section, click on the Order History link",,168
164,Medium,My Account,Order History,Sort by Date,,169
165,Medium,My Account,Order History,Sort by Order No,,170
166,High,My Account,Order History,Click on an Order to view the details and ensure details captured are correct and displayed correctly,,171
167,High,My Account,Order History,Click on the 'Reorder' button to place the items in your Basket (If still available),,172
168,Medium,My Account,Order History,Click on the 'Back to Your Account' link to go back to My Account,,173
169,High,My Account,Update Personal Details,Ensure valid details can be changed and saved,,174
170,High,My Account,Update Personal Details,Ensure validation errors are displayed when mandatory fields are left empty,,175
171,High,My Account,Update Email Address,Ensure valid details can be changed and saved,,176
172,High,My Account,Update Email Address,Ensure validation errors are displayed when mandatory fields are left empty,,177
173,High,My Account,Update Password,Ensure valid details can be changed and saved,,178
174,High,My Account,Update Password,Ensure validation errors are displayed when mandatory fields are left empty,,179
175,High,My Account,Address Book > Delete,Ensure an existing Address can be Deleted,,180
176,High,My Account,Address Book > Edit,Ensure an existing Address can be Edited,,181
177,High,My Account,Address Book > Edit,"When Editing an existing address, valid details can be changed and saved",,182
178,High,My Account,Address Book > Edit,"When Editing an existing address, ensure validation errors are displayed when mandatory fields are left empty",,183
179,High,My Account,Address Book > Edit,Ensure user is able to auto populate an Address using Loqate Post Code finder,,184
180,High,My Account,Address Book > Add,Ensure user is able to auto populate an Address using Loqate Post Code finder,,185
181,Medium,My Account,Address Book > Add,Ensure user is able to insert an Address manually,,186
182,High,My Account,Address Book > Add,Ensure validation is displayed when mandatory fields are left empty,,187
183,High,My Account,Address Book > Add,Ensure new Address can be Saved,,188
184,High,My Account,Address Book > Add,Ensure new Address can be Cancelled and is not Saved,,189
185,Medium,My Account,Buy Accessories for My Products,"Pre-requisite: for My Products > Register (dependent on ECRM connectivity)

Ensure User is able to Register a Product by clicking on 'Register a New Device'",,190
186,Medium,My Account,Buy Accessories for My Products,Ensure existing Products Registered are displayed correctly,,191
187,Medium,My Account,Buy Accessories for My Products,Click on the 'Back to Your Account' link to go back to My Account,,192
188,High,My Account,Wishlist,Ensure items added to the Wishlist can be removed from the Wishlist,,193
189,High,My Account,Wishlist,"Ensure user can view the Product PDP page, by clicking Wishlist item",,194
190,High,My Account,Wishlist,Ensure items added to the Wishlist can be added to the Basket,,195
191,High,Support,Search by Product Name > Search all,Click on the Support link within the Menu to be taken to the Support page,,196
192,High,Support,Search by Product Name > Search all,"Enter text of ""XP-"" and click on the Search button. The results should be shown below the Search bar, for all matches where Product Name starts with ""XP-""",,197
193,High,Support,Search by Product Name > Search all,"Clicking on the a Product from the matches, takes the User to the Support page showing all available Support related articles and items e.g. Drivers, FAQ's, Manuals etc",,198
194,High,Support,Search by Product Name > Suggested Match,Click on the Support link within the Menu to be taken to the Support page,,199
195,High,Support,Search by Product Name > Suggested Match,"Enter text of ""XP-9"" and select the XP-960 match from the suggestive products. The Support page showing all available Support related articles and items e.g. Drivers, FAQ's, Manuals etc",,200
196,High,Support,Search by Product Name > Suggested Match,Ensure all +/- accordion buttons in Downloads section expand and collapse sections correctly,,201
197,High,Support,Search by Product Name > Suggested Match,"Ensure changing the Operating System from the drop down list, updates the articles within the 'Downloads' and 'FAQ' sections so to be relevant to the OS chosen",,202
198,High,Support,Search by Serial Number,Click on the Support link within the Menu to be taken to the Support page,,203
199,High,Support,Search by Serial Number,"Enter Test Data and click on the 'Check' button and ensure details of the Product, Warranty and Extended Warranty information are displayed",X3B8030324,204
200,High,Support,Search by Serial Number,Enter Test Data and click on the 'Check' button and only Product information is displayed,X59U001243,205
201,High,Support,Search by Serial Number,Enter Test Data and click on the 'Check' button and only Product information and 1 EPP Subscription is displayed,UV4Y030323,206
202,High,Support,Search by Serial Number,Enter Test Data and click on the 'Check' button and ensure a Technical Error message is displayed,X576037640,207
203,High,Support,Search by Serial Number,Enter Test Data and click on the 'Check' button and only Product information and 3 Subscription are displayed,X3B8030324,208
